Time	RT	Category
4174.836	455.835999999999	OK
9352.665	291.960000000001	OK
19526.843	339.856	OK
25171.518	314.139000000003	OK
32446.779	303.910000000003	OK
35726.906	444.813999999998	OK
42804.285	280.071000000004	OK
46284.218	392.580000000002	OK
50412.556	314.982000000004	OK
52976.723	289.851000000002	OK
58488.005	311.952000000005	OK
63066.883	333.567999999999	OK
68461.595	347.419000000009	OK
75787.765	286.860000000001	OK
82664.379	389.300000000003	OK
85111.985	310.290000000008	OK
94985.678	249.373000000007	OK
100230.554	344.565999999992	OK
104460.72	269.849000000002	OK
108490.116	306.039999999994	OK
110853.506	282.035999999993	OK
117114.053	291.232000000004	OK
119629.228	367.854999999996	OK
129303.119	331.537000000011	OK
134214.023	487.555999999982	OK
137212.054	356.719000000012	OK
145103.381	282.978000000003	OK
152313.009	236.312000000005	OK
156609.773	404.456999999995	OK
166382.586	292.468999999983	OK
170944.801	316.896999999997	OK
175140.701	424.584000000003	OK
183082.942	276.925999999978	OK
193322.934	270.678000000014	OK
198301.403	341.15400000001	OK
201065.366	434.647000000026	OK
205295.543	271.860000000015	OK
210740.217	282.323000000004	OK
218598.241	467.675000000017	OK
226423.929	304.375	OK
228954.799	395.551000000007	OK
234599.277	284.152000000002	OK
237662.951	311.360000000015	OK
246787.368	284.100000000006	OK
253597.378	320.695999999996	OK
256478.866	373.17200000002	OK
266469.106	301.888000000035	OK
269814.871	345.417000000016	OK
272312.43	408.237000000023	OK
277091.112	299.36599999998	OK
281669.956	333.541999999958	OK
285649.402	285.128999999957	OK
288729.728	271.007999999973	OK
292126.413	308.375999999989	OK
295489.785	283.060999999987	OK
302766.976	341.873000000021	OK
312274.36	314.030000000028	OK
318101.994	304.289999999979	OK
327109.862	372.517999999982	OK
334818.031	277.81799999997	OK
338964.949	322.603000000003	OK
341677.993	323.696999999986	OK
349953.274	259.957999999984	OK
356797.524	337.943000000028	OK
364589.918	283.043000000005	OK
374029.723	290.462	OK
381539.048	293.013999999966	OK
385884.802	353.434999999998	OK
391147.305	328.181000000041	OK
398972.994	331.344999999972	OK
405516.591	373.255999999994	OK
414474.511	309.487999999954	OK
420434.39	331.527999999991	OK
430624.436	368.732000000018	OK
435404.062	365.313000000024	OK
440398.217	371.804000000004	OK
450522.629	342.098999999987	OK
453435.477	476.504000000015	OK
461278.787	305.994000000006	OK
468420.833	379.694000000018	OK
476679.437	357.283999999985	OK
479727.426	443.679999999993	OK
487702.963	387.186000000045	OK
491298.503	365.190999999992	OK
498841.118	321.319000000018	OK
508748.103	324.672999999952	OK
515225.11	341.693000000028	OK
525248.651	346.225000000093	OK
528928.394	349.421999999904	OK
538985.236	345.530999999959	OK
547543.533	406.984000000055	OK
556168.446	328.593999999925	OK
562528.901	339.14300000004	OK
570920.701	305.493000000017	OK
574151.836	314.824000000022	OK
579047.06	318.868000000017	OK
583858.059	265.652999999933	OK
590385.01	321.633999999962	OK
596945.27	303.94299999997	OK
