Time	RT	Category
8753.25	304.25	OK
15280.197	268.642000000003	OK
19709.201	294.681	OK
29384.054	330.527999999998	OK
33596.606	311.197	OK
42387.049	318.091	OK
49980.6	284.235000000001	OK
56273.483	270.532999999996	OK
64515.43	263.627999999997	OK
74705.475	293.722999999998	OK
78684.917	345.125	OK
83547.806	331.570000000007	OK
91390.145	505.975999999995	OK
94269.695	364.198000000004	OK
104111.047	304.034	OK
106640.944	300.531999999992	OK
115698.76	273.5	OK
123824.155	298.078000000009	OK
130668.44	324.969999999972	OK
137094.525	307.738000000012	OK
144870.261	286.418999999994	OK
150864.407	316.829999999987	OK
160171.974	254.652000000002	OK
167464.853	270.541999999987	OK
170546.156	401.982000000018	OK
178770.477	293.975999999995	OK
184232.778	423.988000000012	OK
192557.018	235.893000000011	OK
201731.377	242.054000000004	OK
211755.881	278.188000000024	OK
216233.891	367.654999999999	OK
221895.979	313.792000000016	OK
230536.758	346.433999999979	OK
240061.575	296.687999999995	OK
243473.934	309.014999999985	OK
248486.664	295.418999999994	OK
255646.334	290.321999999986	OK
260257.53	289.847000000009	OK
268316.328	368.484000000055	OK
270680.784	346.143999999971	OK
277057.798	297.79700000002	OK
281969.653	307.548999999999	OK
284783.573	327.600000000035	OK
292842.375	295.484999999986	OK
299502.518	254.838999999978	OK
303648.827	449.99099999998	OK
310674.94	281.152000000002	OK
320698.481	245.222000000009	OK
326693.597	283.799999999988	OK
336199.996	286.051999999967	OK
344925.777	269.456000000006	OK
347573.19	411.062999999966	OK
352350.89	289.34500000003	OK
361658.475	318.269000000029	OK
365788.73	502.949999999953	OK
368968.956	302.879000000015	OK
372148.212	352.90399999998	OK
374462.626	270.093999999983	OK
384552.788	320.839999999967	OK
388282.456	425.377999999968	OK
398006.282	280.514000000025	OK
404383.383	285.782999999996	OK
412709.555	317.847999999998	OK
421766.401	293.896999999997	OK
428609.724	329.997999999963	OK
433639.108	374.065000000002	OK
439516.697	270.241999999969	OK
447840.943	311.894000000029	OK
450789.02	393.770000000019	OK
453918.326	327.958999999973	OK
462459.984	386.342999999993	OK
468405.141	329.844999999972	OK
473765.6	348.106000000029	OK
476329.764	331.847000000009	OK
483289.633	321.552000000025	OK
491681.434	279.480999999971	OK
500239.747	255.996000000043	OK
509347.505	300.445000000007	OK
515591.403	251.576000000001	OK
525516.014	275.290999999968	OK
534407.323	322.957999999984	OK
539451.425	331.75	OK
548327.059	258.310000000056	OK
557967.637	289.226000000024	OK
565094.011	320.021999999997	OK
573934.408	329.050000000047	OK
577665.062	395.33600000001	OK
584241.002	287.584999999963	OK
592617.132	385.809999999939	OK
599277.285	300.814000000013	OK
