Time	RT	Category
5922.66	260.66	OK
8620.956	339.011	OK
17361.421	297.113000000001	OK
25936.367	281.617999999999	OK
28951.046	315.368999999999	OK
39239.994	390.601999999999	OK
46067.61	295.298000000003	OK
56206.707	364.745999999999	OK
58788.48	533.453999999998	OK
64899.161	266.332000000009	OK
73507.401	333.884000000005	OK
81066.662	276.914000000004	OK
86127.404	305.392999999996	OK
90423.471	261.75	OK
98165.608	353.099000000002	OK
103311.542	258.611999999994	OK
106307.632	269.749000000011	OK
112934.474	281.523000000001	OK
117597.545	330.749000000011	OK
126371.312	275.417000000016	OK
130583.854	352.227000000014	OK
133547.617	328.446999999986	OK
141957.014	302.081999999995	OK
147967.436	294.070000000007	OK
152430.088	335.947000000015	OK
156858.116	265.679000000004	OK
161854.184	355.752000000008	OK
165682.809	331.266999999993	OK
173559.406	236.284000000014	OK
176955.1	299.361000000004	OK
181200.944	260.52900000001	OK
186879.248	284.996999999974	OK
189493.782	377.755000000005	OK
191791.339	314.206999999995	OK
198400.757	271.872999999992	OK
204079.492	303.415999999997	OK
210573.135	291.290000000008	OK
213770.002	505.51999999999	OK
219097.146	280.791999999987	OK
228970.812	266.344000000012	OK
233517.32	303.179000000004	OK
240409.603	441.926000000007	OK
249834.676	292.757000000012	OK
258142.239	312.22100000002	OK
264020.777	259.224000000046	OK
266667.217	365.074000000022	OK
273743.618	271.087	OK
279955.166	274.229999999981	OK
287647.642	327.122000000032	OK
291427.264	351.277999999991	OK
298570.271	295.648999999976	OK
305546.784	309.167000000016	OK
312255.895	342.774999999965	OK
319315.646	296.432999999961	OK
327491.934	333.971999999951	OK
336899.389	258.103999999992	OK
346855.335	335.597999999998	OK
350368.561	470.907999999996	OK
352849.464	349.587999999989	OK
360375.418	331.635000000009	OK
369117.825	266.081999999995	OK
372780.916	367.738000000012	OK
380373.466	276.208999999973	OK
387566.42	288.604999999981	OK
391777.995	496.222000000009	OK
396856.354	288.041000000027	OK
406247.159	268.483999999997	OK
413839.741	392.265000000014	OK
423597.798	381.726999999955	OK
431623.263	356.118000000017	OK
435985.657	503.037000000011	OK
443327.496	405.489999999991	OK
447956.295	463.475000000035	OK
457597.825	286.205999999947	OK
466488.15	366.973999999987	OK
469751.614	383.154000000039	OK
474680.128	397.191999999981	OK
478244.282	334.848000000056	OK
487334.397	342.777000000002	OK
496226.645	421.935999999987	OK
500071.916	626.913	OK
504501.879	390.630000000005	OK
511310.949	298.722999999998	OK
517454.893	312.671000000031	OK
524598.86	349.650999999954	OK
528727.2	318.989999999991	OK
536552.854	286.361999999965	OK
546444.129	333.966999999946	OK
551887.828	301.351000000024	OK
558582.233	376.094999999972	OK
566423.587	315.001999999979	OK
572967.18	330.280999999959	OK
577030.727	509.234999999986	OK
583890.778	313.593999999925	OK
589950.92	321.793999999994	OK
593298.23	425.371999999974	OK
