time,rssi
1627767176.733,-83
1627767340.73,-49
1627767340.73,-55
1627767340.73,-63
1627767340.73,-68
1627767340.73,-68
1627767340.73,-70
1627767340.73,-70
1627767340.73,-75
1627767340.73,-76
1627767340.73,-78
1627767340.73,-80
1627767340.73,-86
1627767452.375,-50
1627767452.375,-53
1627767452.375,-54
1627767452.375,-66
1627767452.375,-68
1627767452.375,-69
1627767452.375,-78
1627767452.375,-79
1627767452.375,-80
1627767452.375,-84
1627767452.375,-85
1627767452.375,-86
1627767512.224,-56
1627767512.224,-61
1627767512.224,-70
1627767512.224,-70
1627767512.224,-74
1627767512.224,-78
1627767512.224,-79
1627767512.224,-80
1627767512.224,-81
1627767512.224,-84
1627767710.684,-46
1627767710.684,-46
1627767710.684,-55
1627767710.684,-66
1627767710.684,-71
1627767710.684,-71
1627767710.684,-73
1627767710.684,-76
1627767710.684,-78
1627767710.684,-79
1627767710.684,-80
1627767710.684,-86
1627767784.472,-51
1627767784.472,-52
1627767784.472,-53
1627767784.472,-66
1627767784.472,-69
1627767784.472,-70
1627767784.472,-71
1627767784.472,-72
1627767784.472,-75
1627767784.472,-76
1627767784.472,-84
1627767844.301,-53
1627767844.301,-55
1627767844.301,-55
1627767844.301,-65
1627767844.301,-66
1627767844.301,-68
1627767844.301,-74
1627767844.301,-78
1627767844.301,-78
1627767844.301,-79
1627767844.301,-79
1627767844.301,-81
1627767844.301,-85
1627767887.538,-54
1627767887.538,-56
1627767887.538,-60
1627767887.538,-69
1627767887.538,-69
1627767887.538,-76
1627767887.538,-78
1627767887.538,-78
1627767887.538,-81
1627767887.538,-83
1627767966.955,-50
1627767966.955,-59
1627767966.955,-69
1627767966.955,-69
1627767966.955,-70
1627767966.955,-74
1627767966.955,-75
1627767966.955,-81
1627768335.713,-51
1627768335.713,-58
1627768335.713,-71
1627768335.713,-76
1627768335.713,-78
1627768335.713,-78
1627768335.713,-78
1627768335.713,-80
1627768335.713,-87
1627768406.35,-52
1627768406.35,-53
1627768406.35,-65
1627768406.35,-65
1627768406.35,-71
1627768406.35,-72
1627768406.35,-74
1627768406.35,-76
1627768406.35,-82
1627768406.35,-86
1627768516.466,-50
1627768516.466,-55
1627768516.466,-73
1627768516.466,-74
1627768516.466,-76
1627768516.466,-78
1627768516.466,-81
1627768516.466,-84
1627768545.612,-55
1627768545.612,-55
1627768545.612,-57
1627768545.612,-63
1627768545.612,-64
1627768545.612,-65
1627768545.612,-66
1627768545.612,-69
1627768545.612,-75
1627768545.612,-79
1627768545.612,-79
1627768545.612,-85
1627768620.645,-53
1627768620.645,-57
1627768620.645,-65
1627768620.645,-66
1627768620.645,-70
1627768620.645,-77
1627768620.645,-84
