time,battery_level
1627837480.643,63
1627837540.643,64
1627837600.639,65
1627837660.629,66
1627837756.282,67
1627837780.646,68
1627837890.618,69
1627837959.978,70
1627838020.657,71
1627838080.627,72
1627838140.625,73
1627838244.897,74
1627838317.186,75
1627838380.643,76
1627838440.666,77
1627838539.925,78
1627838616.602,79
1627838680.618,80
1627838778.068,81
1627838856.787,82
1627838920.648,83
1627838980.622,84
1627839099.809,85
1627839185.216,86
1627839270.612,87
1627839280.648,87
1627839363.352,88
1627839431.773,89
1627839576.593,90
1627839711.618,91
1627839850.015,92
1627839940.641,92
1627840060.639,93
1627840153.289,94
1627840360.65,95
1627840480.625,96
1627840720.633,97
1627840960.635,98
1627841162.759,99
1627841440.634,100
1627842835.067,100
1627842940.635,100
1627843540.65,100
1627846660.627,100
1627847140.646,100
1627848697.663,100
1627848878.762,99
1627849027.095,98
1627849074.269,97
1627849206.791,96
1627849423.204,95
1627849544.139,94
1627849856.538,93
1627849869.965,92
1627850435.215,92
1627850884.656,92
1627852297.285,91
1627853015.348,90
1627853493.485,89
1627853846.168,88
1627854097.267,87
1627854391.251,86
1627854686.866,85
1627854808.743,84
1627858297.288,84
1627858803.682,83
1627861297.288,82
1627861897.278,82
1627862497.283,82
1627864297.34,81
1627865435.255,81
1627866697.287,80
1627869008.673,80
1627869070.719,79
1627869212.697,78
1627869621.886,77
1627869908.2,76
1627870051.477,75
1627872697.267,75
1627873297.33,74
1627875097.285,73
1627876297.28,73
1627878097.286,73
1627878697.333,72
1627879897.29,72
1627881097.282,71
1627882087.675,71
1627882181.611,70
1627882385.188,69
1627882691.309,68
1627883025.317,67
1627883142.232,67
1627883227.249,66
1627883726.854,65
1627884025.074,63
1627884333.128,62
1627884579.803,61
1627884808.8,60
1627885021.768,59
1627885341.826,58
1627885616.004,57
1627885802.806,56
1627886289.409,54
1627886823.98,53
1627887081.692,52
1627887097.267,51
1627887686.094,50
1627887797.58,49
1627889497.326,48
1627890004.091,47
1627890697.287,47
1627891754.163,46
1627892251.015,45
1627892791.83,45
1627892943.658,45
1627893136.514,44
1627894298.639,43
1627894897.295,42
1627895753.618,41
1627896097.307,40
1627896546.603,40
1627896648.06,39
1627896737.423,38
1627896885.632,37
1627897897.283,36
1627898319.188,35
1627898678.243,34
1627899886.658,33
1627900297.282,33
1627900767.563,32
1627901102.7,31
1627901497.303,30
1627902385.909,29
1627902539.912,28
1627902540.119,27
1627902616.579,26
1627902697.299,25
1627902822.458,24
1627902924.012,23
1627902988.744,22
1627903087.624,21
1627903176.12,20
1627903317.695,19
1627903435.669,18
1627903544.844,17
1627903662.83,16
1627903777.948,15
1627903818.687,15
1627903819.108,15
1627903819.968,15
1627903868.261,16
1627903936.649,17
1627903970.739,18
1627904119.694,19
1627904239.688,20
1627904419.697,21
1627904539.686,22
1627904719.689,23
1627904782.258,23
1627904792.469,23
1627904798.159,23
1627904806.505,23
1627904899.695,24
1627905019.707,25
1627905199.704,26
1627905319.688,27
1627905360.549,27
1627905366.879,27
1627905380.572,27
1627905386.895,27
1627905398.575,27
1627905406.922,27
1627905412.605,27
1627905420.921,27
1627905442.621,27
1627905450.962,27
1627905499.69,28
1627905559.681,29
1627905739.683,30
1627905859.706,31
1627905919.702,32
1627906039.682,33
1627906159.685,34
1627906279.7,35
1627906376.708,36
1627906459.702,37
1627906533.346,37
1627906541.674,37
1627906555.376,38
1627906563.685,38
1627906573.389,38
1627906581.718,38
1627906595.404,38
1627906603.739,38
1627906621.436,38
1627906629.744,38
1627906641.424,38
1627906649.76,38
1627906659.443,39
1627906667.767,39
1627906677.471,39
1627906685.787,39
1627906697.48,39
1627906703.789,39
1627906807.988,40
1627906879.681,41
1627906989.365,42
1627907081.549,43
1627907119.683,43
1627907175.217,44
1627907268.849,45
1627907299.686,45
1627907359.684,46
1627907463.558,47
1627907507.677,47
1627908896.924,46
1627908971.723,45
1627909307.471,44
1627909556.603,43
1627909790.343,42
1627909907.478,41
1627910095.222,40
1627910797.17,40
1627910965.409,40
1627911707.528,39
1627912170.409,38
1627913501.346,38
1627913507.464,37
1627914707.485,37
1627915051.099,36
1627916507.477,35
1627917107.49,35
1627917312.199,34
1627918307.489,34
1627918907.484,33
1627920080.531,32
1627920242.84,31
1627920375.36,31
1627920536.387,30
1627920863.183,29
1627920990.872,28
1627921127.369,27
1627921307.473,26
1627921486.796,25
1627921655.539,24
1627921808.197,23
1627921946.048,22
1627922123.901,21
