

Audio-Visual Attention 1-back test 
09/05/2020 21:28:01
Subject:	day4

Block type:	CC1
Block 	 trial 	 pitch 	 pit_change 	 orientation 	 or_change 	 vis_novel 	 aud_novel 	 whichtask 	 response 	 reaction_time 	 task_correct 	 change_correct 	 whichtask 
1	1	969	0.1	-15	15	12	12	4	1	553	1	1	4
1	2	969	0.1	-30	15	12	12	6	2	455	1	2	6
1	3	969	0.1	-15	15	18	12	4	3	328	1	3	4
1	4	904	0.1	-15	15	18	12	1	4	369	1	4	1
1	5	969	0.1	-15	15	18	12	1	3	388	2	4	1
1	6	969	0.1	0	15	18	12	4	1	304	3	4	4
1	7	969	0.1	15	15	18	12	4	4	237	3	5	4
1	8	969	0.1	0	15	18	12	5	3	369	3	6	5
1	9	1038	0.1	0	15	18	8	1	4	586	3	7	1
1	10	1038	0.1	-15	15	18	8	6	3	703	4	7	6
1	11	1113	0.1	-15	15	38	8	1	1	273	4	8	1
1	12	1038	0.1	-15	15	38	8	1	2	246	5	8	1
1	13	1038	0.1	-30	15	38	8	4	1	227	6	8	4
1	14	1038	0.1	-45	15	38	8	4	2	251	6	9	4
1	15	969	0.1	-45	15	38	8	1	3	291	6	10	1
1	16	1038	0.1	-45	15	38	8	2	4	299	7	10	2
1	17	1038	0.1	-30	15	38	16	4	1	483	8	10	4
1	18	969	0.1	-30	15	38	16	2	2	300	8	11	2
1	19	969	0.1	-45	15	38	18	4	3	442	9	11	4
1	20	969	0.1	-45	15	38	18	1	4	408	9	12	1
1	21	904	0.1	-45	15	38	18	1	3	484	10	12	1
1	22	904	0.1	-30	15	38	18	5	2	302	11	12	5
1	23	969	0.1	-30	15	38	15	1	1	314	11	13	1
1	24	904	0.1	-30	15	38	15	3	4	274	12	13	3
1	25	904	0.1	-15	15	1	15	4	3	276	13	13	4
1	26	969	0.1	-15	15	1	15	1	4	575	13	14	1
1	27	1038	0.1	-15	15	1	15	1	4	359	14	14	1
1	28	1038	0.1	0	15	1	15	4	1	317	15	14	4
1	29	1038	0.1	0	15	1	15	4	2	1105	15	15	4
1	30	969	0.1	0	15	1	15	3	3	510	15	16	3


Block type:	PP1
Block 	 trial 	 pitch 	 pit_change 	 orientation 	 or_change 	 vis_novel 	 aud_novel 	 whichtask 	 response 	 reaction_time 	 task_correct 	 change_correct 	 whichtask 
2	1	887	0.1	1	15	29	15	1	0	-8434	1	1	1
2	2	887	0.1	-14	15	29	15	4	0	-10330	2	1	4
2	3	951	0.1	-14	15	29	15	1	0	-12211	2	2	1
2	4	887	0.1	-14	15	29	15	3	0	-14092	3	2	3
2	5	887	0.1	1	15	26	15	4	2	656	4	2	4
2	6	887	0.1	-14	15	26	15	5	0	-1226	4	3	5
2	7	951	0.1	-14	15	26	28	1	0	-3108	4	4	1
2	8	1019	0.1	-14	15	26	28	2	0	-4990	5	4	2
2	9	1093	0.1	-14	15	26	34	1	0	-6871	6	4	1
2	10	1093	0.1	1	15	26	34	6	2	146	7	4	6
2	11	1093	0.1	-14	15	5	34	4	0	-1754	7	5	4
2	12	1171	0.1	-14	15	5	34	1	0	-3635	7	6	1
2	13	1093	0.1	-14	15	5	34	1	0	-5516	8	6	1
2	14	1093	0.1	-29	15	5	34	4	2	490	9	6	4
2	15	1093	0.1	-14	15	5	34	4	0	-1391	9	7	4
2	16	1171	0.1	-14	15	5	34	3	0	-3273	9	8	3
2	17	1171	0.1	1	15	3	34	4	0	-5171	10	8	4
2	18	1093	0.1	1	15	3	34	1	0	-7053	10	9	1
2	19	1093	0.1	16	15	3	34	4	2	129	11	9	4
2	20	1019	0.1	16	15	3	34	2	0	-1755	11	10	2
2	21	1093	0.1	16	15	3	30	1	0	-3634	12	10	1
2	22	1093	0.1	1	15	3	30	5	0	-5518	13	10	5
2	23	1093	0.1	-14	15	3	3	4	0	-7397	13	11	4
2	24	1093	0.1	-14	15	3	3	1	0	-9279	13	12	1
2	25	1019	0.1	-14	15	3	3	1	0	-11160	14	12	1
2	26	951	0.1	-14	15	3	3	1	0	-13041	15	12	1
2	27	951	0.1	1	15	3	3	4	0	-14922	16	12	4
2	28	951	0.1	1	15	3	3	6	2	1487	16	13	6
2	29	951	0.1	-14	15	37	3	4	0	-411	16	14	4
2	30	951	0.1	1	15	37	3	4	0	-2291	16	15	4


Block type:	AA1
Block 	 trial 	 pitch 	 pit_change 	 orientation 	 or_change 	 vis_novel 	 aud_novel 	 whichtask 	 response 	 reaction_time 	 task_correct 	 change_correct 	 whichtask 
3	1	1133	0.1	16	15	37	3	4	0	-11219	0	5	1	1	4
3	2	1240	0.13	16	15	37	3	1	1	609	1	1	2	2	1
3	3	1133	0.13	16	15	37	3	1	2	515	1	1	3	2	1
3	4	1215	0.1	1	15	37	3	6	1	717	1	1	4	2	6
3	5	1302	0.1	16	15	7	3	4	1	596	1	1	5	3	4
3	6	1215	0.1	16	15	7	3	3	1	741	1	0	6	4	3
3	7	1133	0.1	1	15	23	3	4	2	492	1	1	7	4	4
3	8	1080	0.07	16	15	23	3	4	2	426	1	1	8	5	4
3	9	1133	0.07	16	15	23	3	1	1	654	1	1	9	6	1
3	10	1165	0.04	31	15	23	3	4	2	415	1	0	10	6	4
3	11	1110	0.07	46	15	23	3	4	2	633	1	1	11	7	4
3	12	1165	0.07	46	15	23	3	3	1	682	1	1	12	8	3
3	13	1223	0.07	61	15	14	3	4	2	622	1	0	13	8	4
3	14	1311	0.1	76	15	14	3	4	1	557	1	1	14	9	4
3	15	1223	0.1	76	15	14	3	1	2	879	1	1	15	10	1
3	16	1165	0.07	76	15	14	3	2	1	1329	1	0	16	10	2
3	17	1223	0.07	91	15	14	6	4	1	1082	1	1	17	10	4
3	18	1284	0.07	91	15	14	6	2	1	1118	1	1	18	11	2
3	19	1223	0.07	76	15	14	35	4	1	1384	1	0	19	11	4
3	20	1157	0.08	76	15	14	35	1	2	607	1	1	20	12	1
3	21	1095	0.08	76	15	14	35	1	2	570	1	1	21	12	1
3	22	1043	0.07	91	15	14	35	5	2	529	1	1	22	12	5
3	23	1095	0.07	91	15	14	33	1	2	808	1	0	23	13	1
3	24	1036	0.08	91	15	14	33	1	2	677	1	1	24	13	1
3	25	980	0.08	91	15	14	33	1	2	607	1	1	25	13	1
3	26	1029	0.07	76	15	14	33	4	1	597	1	1	26	13	4
3	27	980	0.07	61	15	14	33	4	2	543	1	1	27	14	4
3	28	1021	0.06	61	15	14	33	1	2	936	1	0	28	15	1
3	29	973	0.07	76	15	14	33	4	1	956	1	0	29	15	4
3	30	921	0.08	76	15	14	33	1	2	445	1	1	30	16	1
3	31	973	0.08	61	15	14	33	4	2	793	1	0	31	16	4
3	32	1036	0.09	76	15	14	33	4	1	741	1	1	32	17	4
3	33	973	0.09	76	15	14	33	1	2	661	1	1	33	18	1
3	34	1029	0.08	61	15	14	33	5	2	1213	1	0	34	18	5
3	35	1087	0.08	61	15	14	32	1	1	635	1	1	35	19	1
3	36	1029	0.08	61	15	14	32	1	2	1555	1	1	36	19	1
3	37	980	0.07	61	15	14	32	1	2	946	1	1	37	19	1
3	38	1029	0.07	76	15	14	32	6	1	823	1	1	38	19	6
3	39	980	0.07	61	15	41	32	4	2	529	1	1	39	20	4
3	40	1021	0.06	46	15	41	32	6	1	668	1	1	40	21	6
3	41	1065	0.06	31	15	4	32	4	1	907	1	1	41	22	4
3	42	1021	0.06	16	15	4	32	5	2	437	1	1	42	23	5
3	43	980	0.06	16	15	4	23	1	2	526	1	1	43	24	1
3	44	946	0.05	16	15	4	23	3	2	739	1	1	44	24	3
3	45	980	0.05	1	15	36	23	4	2	831	1	0	45	24	4
3	46	940	0.06	16	15	36	23	6	2	822	1	1	46	25	6
3	47	980	0.06	16	15	25	23	1	1	511	1	1	47	26	1
3	48	1021	0.06	1	15	25	23	4	1	651	1	1	48	26	4
3	49	1057	0.05	-14	15	25	23	4	1	744	1	1	49	27	4
3	50	1095	0.05	1	15	25	23	5	2	882	1	0	50	28	5
3	51	1057	0.05	1	15	25	19	1	2	913	1	1	51	29	1
3	52	1087	0.04	1	15	25	19	1	1	1442	1	1	52	29	1
3	53	1118	0.04	1	15	25	19	1	2	644	1	0	53	29	1
3	54	1157	0.05	1	15	25	19	3	1	760	1	1	54	29	3
3	55	1118	0.05	1	15	32	19	1	2	1077	1	1	55	29	1
3	56	1080	0.05	1	15	32	19	2	2	822	1	1	56	29	2
3	57	1043	0.05	-14	15	32	2	4	2	875	1	1	57	29	4
3	58	1014	0.04	-14	15	32	2	2	2	664	1	1	58	30	2
3	59	987	0.04	-14	15	32	29	1	2	650	1	1	59	30	1
3	60	1014	0.04	1	15	32	29	4	1	643	1	1	60	30	4


Block type:	AO1
Block 	 trial 	 pitch 	 pit_change 	 orientation 	 or_change 	 vis_novel 	 aud_novel 	 whichtask 	 response 	 reaction_time 	 task_correct 	 change_correct 	 whichtask 
4	1	1068	0.1	10	15	32	29	1	0	-11295	0	5	1	1	1
