time,double_latitude,
1593894708.465,40.4353726205691,
1593894708.513,56.7317165159745,
1593894708.592,28.0434053834946,
1593894710.233,54.8979462858188,
1593895909.456,56.4198974220432,
1593895909.513,53.1666792975468,
1593895909.557,35.9076367422026,
1593895909.806,53.2689315754356,
1593895911.748,58.6314870579497,
1593897097.487,51.64445121682,
1593897097.54,31.2542935023037,
1593897097.604,56.4917872053042,
1593897099.388,57.0775960259705,
1593898300.467,48.8470120943927,
1593898300.537,59.1470751528234,
1593898300.566,52.958190088299,
1593898300.637,35.5617572295202,
1593898302.418,19.508243154219,
1593899510.47,51.9268738903076,
1593899510.658,59.6913772132936,
1593899510.704,23.8479232570659,
1593899510.753,31.7468086585085,
1593899512.594,37.2582948278338,
1593900740.529,51.6701295041966,
1593900740.713,49.9703385878589,
1593900740.837,49.425215659092,
1593900740.861,59.7958665974259,
1593900742.429,55.0503491630613,
1593902052.478,59.1491724734708,
1593902052.631,50.9560820289141,
1593902052.755,53.5105612422817,
1593902052.8,48.7548037690045,
1593902054.632,33.3800506010668,
1593903148.474,55.1537138377704,
1593903148.61,60.1471580708255,
1593903148.665,52.0258834817523,
1593903150.453,57.2989415414769,
1593904327.475,49.8258852135785,
1593904327.534,30.4215444710207,
1593904327.559,35.4040355265566,
1593904327.69,53.0590357856112,
1593904329.418,39.1766467220496,
1593905504.605,45.8544112791888,
1593905504.671,53.3375542887978,
1593905504.747,57.9036085365972,
1593905506.517,52.4285156356111,
1593906719.494,48.4550862901531,
1593906719.606,59.9351764569642,
1593906719.634,49.6874425669718,
1593906719.698,53.9352606538228,
1593906719.99,36.9843279351296,
1593908144.799,57.2300101818015,
1593908148.464,34.3286700948474,
1593909138.46,36.6917446841977,
1593909138.626,51.9533093267254,
1593909138.65,59.509015130034,
1593909138.702,59.2699897202499,
1593909140.624,57.1669964442568,
1593910387.6,59.0959915511158,
1593910387.684,59.6478259128832,
1593910387.71,54.8164241250072,
1593910387.771,55.9110786503335,
1593910389.532,57.4176578546448,
1593911492.467,59.4774621939003,
1593911492.565,33.4448728525618,
1593911492.609,60.002904362089,
1593911494.349,40.4319183203368,
1593912288.198,55.1050718634271,
1593915803.397,58.5322533554344,
1593915881.667,60.0063102711976,
1593915881.787,21.2322980143711,
1593915881.957,57.2595832843246,
1593915882.174,45.6195539097286,
1593915884.469,49.8422026914508,
1593922538.583,36.8091058485681,
1593926287.833,60.0167193858579,
1593926423.466,55.5228190638141,
1593926423.687,32.8283839813568,
1593926423.834,58.5318435549161,
1593926423.927,41.6896932810341,
1593926426.587,48.0677139416436,
1593927024.471,42.1146520736279,
1593927024.542,51.0586406838116,
1593927025.459,49.8847581766562,
1593927025.507,39.0123231385129,
1593927085.543,38.5279830169582,
1593927087.236,56.3089377745344,
1593928240.477,36.1256425101158,
1593928240.564,40.119608982272,
1593928240.6,19.8713799842007,
1593928240.663,35.4203066042005,
1593928242.389,36.1824347842165,
1593929405.451,37.1695765406331,
1593929405.495,46.8508744991748,
1593929406.471,25.9660496101601,
1593929406.519,59.4278084333395,
1593929466.477,43.937625101441,
1593929468.134,54.8133921579654,
1593930614.474,58.0729595966677,
1593930614.548,44.0616772941724,
1593930614.574,51.7938489153681,
1593930614.633,31.8840846317455,
1593930616.299,44.7464168226304,
1593932060.885,58.4554350132423,
1593932062.641,43.7244365352393,
1593933169.485,57.2486475915362,
1593933169.595,23.1107659954029,
1593933169.626,47.3666291836851,
1593933169.716,24.6827392008848,
1593933171.569,45.0614749694254,
1593934311.488,53.1757087991482,
1593934311.664,30.7441750365601,
1593934311.71,50.6906732501287,
1593934313.559,37.0967094602847,
1593935350.107,50.4427245711431,
1593935350.177,33.1427553092143,
1593935350.212,38.8568980896476,
1593935350.435,57.0642154699029,
1593935350.651,50.6604923655506,
1593935356.441,44.0262839003787,
1593935356.53,46.2989616425476,
1593935430.455,57.8652714106583,
1593935430.503,36.8553496634348,
1593935491.696,58.400403112814,
1593935493.559,39.7983526175389,
1593936886.092,58.8581196098394,
1593936887.985,32.6276887417107,
1593938086.069,26.1118611165483,
1593938088.125,57.9901600303748,
1593939286.087,49.7022016340173,
1593939287.898,15.9019177515857,
1593940485.912,28.9468584484294,
1593940487.761,27.8863024020277,
1593941685.967,34.1408170558089,
1593941687.621,59.7219013921959,
1593942885.848,30.2903386923841,
1593942887.809,43.1039283466311,
1593944085.962,45.4562979994436,
1593944087.652,49.9419407744451,
1593944884.468,53.2185606502543,
1593944884.544,43.8674362194628,
1593944884.578,15.7445888430473,
1593944885.447,59.4666377415577,
1593944885.486,55.2205241352994,
1593944886.45,60.0585997691258,
1593944886.492,50.3242472614733,
1593944887.461,51.8773636949187,
1593944887.519,57.927059197481,
1593944888.471,59.9707138317387,
1593944888.513,53.7742027639626,
1593944889.435,56.262812609841,
1593944889.468,27.3970771119362,
1593944890.464,39.2934850360386,
1593944890.522,53.0683539139724,
1593944891.461,33.7109778012561,
1593944891.498,54.0082202860488,
1593944892.455,57.1153069364798,
1593944892.526,17.1789505322626,
1593944893.454,59.241648744517,
1593944893.49,59.1945217190994,
1593944894.457,23.5396034547628,
1593944894.501,51.6830168499653,
1593944895.449,55.4573990507171,
1593944895.491,58.0180075515996,
1593944896.434,50.706309381999,
1593944896.466,49.0493746912375,
1593944897.455,55.4857658999831,
1593944897.5,49.886218473792,
1593944898.459,45.4887188590208,
1593944898.51,60.0099485644772,
1593944899.455,49.6148767291413,
1593944899.49,41.7520153318892,
1593944900.455,55.463636514744,
1593944900.497,41.8751884979556,
1593944905.445,50.6935883229491,
1593944905.491,45.9173996654299,
1593944930.48,58.1889892372892,
1593944930.525,59.665794415836,
1593944931.449,54.424870339932,
1593944931.494,30.6102348613784,
1593944932.446,51.6969548803093,
1593944932.489,60.0176396886529,
1593944933.477,49.3541402138378,
1593944933.549,59.0021267300641,
