time,battery_level
1593971052.377,86
1593971147.132,85
1593971206.549,84
1593971310.107,82
1593971420.891,81
1593971498.762,80
1593971553.014,79
1593971664.129,78
1593971698.706,77
1593971787.34,76
1593971847.385,75
1593971952.509,74
1593972436.909,73
1593972638.613,73
1593972897.98,72
1593973071.336,71
1593973651.925,70
1593974079.579,69
1593974621.302,68
1593975637.15,67
1593976180.632,66
1593976238.623,66
1593976792.412,65
1593976820.476,64
1593978038.735,63
1593978922.361,62
1593979407.789,60
1593979838.516,60
1593981588.183,59
1593982625.763,58
1593982680.617,57
1593983438.482,57
1593984981.263,56
1593986173.934,54
1593986285.493,53
1593986438.518,52
1593986563.995,51
1593986752.475,50
1593986968.013,49
1593987028.082,48
1593988238.526,47
1593988496.071,46
1593990038.529,45
1593990632.15,44
1593992192.88,43
1593993499.782,42
1593993966.71,40
1593995438.593,39
1593996408.568,38
1593997222.973,37
1593997904.376,36
1593998394.337,35
1593999250.35,34
1593999638.521,33
1594000261.258,32
1594000838.508,31
1594000867.605,31
1594001052.379,30
1594001533.073,29
1594001890.143,28
1594002589.438,27
1594003085.531,26
1594003713.933,25
1594004234.809,24
1594005511.129,23
1594006424.286,22
1594007356.531,21
1594007438.538,20
1594007527.562,19
1594007646.344,18
1594007885.372,17
1594008038.528,16
1594008267.026,15
1594008327.292,14
1594008384.357,13
1594008598.411,12
1594008614.583,12
1594008615.764,12
1594008675.062,13
1594008734.923,14
1594008742.589,15
1594008810.984,16
1594008877.85,17
1594008943.195,18
1594008974.924,19
1594009034.992,20
1594009146.727,22
1594009214.937,23
1594009274.951,24
1594009334.922,25
1594009395.033,26
1594009455.967,27
1594009491.338,28
1594009561.314,29
1594009628.382,30
1594009690.706,31
1594009752.762,32
1594009808.15,33
1594009864.609,35
1594009921.072,36
1594009973.028,37
1594010027.99,38
1594010054.914,39
1594010114.943,40
1594010174.924,41
1594010189.748,42
1594010244.685,43
1594010295.093,44
1594010348.559,45
1594010399.086,46
1594010441.311,47
1594010452.433,48
1594010504.347,49
1594010554.788,50
1594010594.942,51
1594010652.148,52
1594010694.321,53
1594010736.495,54
1594010765.406,55
1594010818.852,56
1594010863.045,57
1594010905.225,58
1594010947.407,59
1594011014.916,60
1594011073.933,61
1594011090.402,62
1594011142.322,63
1594011194.234,64
1594011229.776,65
1594011284.829,66
1594011326.987,67
1594011366.275,68
1594011433.06,69
1594011494.926,70
1594011541.607,71
1594011614.939,72
1594011669.741,73
1594011734.92,74
1594011759.551,75
1594011826.341,76
1594011880.743,77
1594011965.187,78
1594012007.428,79
1594012091.866,80
1594012176.259,81
1594012212.361,82
1594012299.94,83
1594012387.209,84
1594012471.495,85
1594012555.746,86
1594012634.906,87
1594012703.098,88
1594012809.744,89
1594012892.677,90
1594013019.404,91
1594013146.029,92
1594013272.484,93
1594013398.814,93
1594013414.907,94
1594013526.133,95
1594013721.413,96
1594013877.318,97
1594014134.915,98
1594014360.508,99
1594014674.935,100
1594016486.289,100
1594017041.496,100
1594017079.895,100
1594017080.252,100
1594017314.318,99
1594017535.704,98
1594017564.989,97
1594017742.217,96
1594017842.694,95
1594018069.149,94
1594018280.07,93
1594018657.215,93
1594018657.731,93
1594018756.114,94
1594018897.57,95
1594019132.818,96
1594019317.571,97
1594019590.372,98
1594019790.318,99
1594020157.617,100
1594020596.4,100
1594020652.649,100
1594020652.994,100
1594021328.245,99
1594021807.21,98
1594022325.913,97
1594022928.984,96
1594023008.094,95
1594023627.271,94
1594024111.92,93
1594024231.944,93
1594024776.353,92
1594025254.327,91
1594025460.085,90
1594025843.063,89
1594026112.689,88
1594026535.671,87
1594026932.233,86
1594027317.898,85
1594027618.137,84
1594027852.585,84
1594028094.208,83
1594028242.022,82
1594030321.864,81
1594030397.536,79
1594030966.6,78
1594031011.773,77
1594031724.34,76
1594031830.081,75
1594032028.594,74
1594032652.865,73
1594032781.499,72
1594032855.891,71
1594033357.069,70
1594033761.972,69
1594033852.767,69
1594034037.047,68
1594034093.418,67
1594034103.672,66
1594035044.967,65
1594035273.773,64
1594035405.731,63
1594035476.314,62
1594035652.845,61
1594035734.536,60
1594035914.802,59
1594036383.119,57
1594036711.391,56
1594036789.987,55
1594037452.792,55
1594037980.41,54
1594037998.949,53
1594038086.313,52
1594038154.506,51
1594039829.947,50
1594039852.675,49
1594039878.049,48
1594040424.781,46
1594040452.121,45
1594040506.27,44
1594040593.676,43
1594041051.983,43
1594041652.107,42
1594042252.003,41
1594042501.634,40
1594042516.723,39
1594042615.263,37
1594042757.14,35
1594042783.853,34
1594042813.628,32
1594042839.182,31
1594042852.401,30
1594042867.364,29
1594042889.76,28
1594042912.173,26
1594042934.601,24
1594042963.048,23
1594042993.018,21
1594043015.472,20
1594043032.813,19
1594044976.195,19
1594048252.387,19
1594048784.669,18
1594048804.476,17
1594049036.641,15
1594050633.165,14
1594050635.069,13
1594050652.376,12
1594051342.09,10
